Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Certamen 1
0:51:00,1,0,0,0,1,1,0,0,1,0,1,0,12,5,41.67,17
0:53:00,0,0,1,0,1,1,1,1,0,0,0,0,12,5,41.67,37
0:53:00,0,0,1,0,0,0,0,1,0,1,1,1,12,5,41.67,16
0:54:00,0,0,1,,0,0,1,0,1,1,1,0,11,5,41.67,
0:54:00,1,0,0,1,0,0,0,1,0,0,1,1,12,5,41.67,37
0:54:00,0,0,1,0,1,0,1,1,0,0,1,0,12,5,41.67,21
9:02:00,1,1,1,0,1,,1,,,,,,6,5,41.67,27
50:16:00,1,1,1,0,1,1,,,,,,,6,5,41.67,20
53:28:00,1,1,0,,1,0,,0,0,0,1,1,10,5,41.67,22
53:29:00,0,0,0,0,1,1,1,0,,1,0,1,11,5,41.67,22
0:22:00,1,0,0,0,1,0,0,1,1,1,1,0,12,6,50,17
0:25:00,0,0,1,1,1,0,0,0,0,1,1,1,12,6,50,95
0:25:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,30
0:26:00,1,0,1,0,1,1,1,0,0,1,0,0,12,6,50,49
0:26:00,0,0,1,0,1,0,1,0,1,1,1,0,12,6,50,
0:27:00,0,0,1,0,1,0,1,0,1,1,1,0,12,6,50,22
0:28:00,1,1,0,0,1,0,1,1,0,1,0,0,12,6,50,19
0:29:00,0,1,0,0,0,0,1,0,1,1,1,1,12,6,50,56
0:29:00,0,0,0,0,1,0,1,0,1,1,1,1,12,6,50,44
0:30:00,0,0,1,0,1,0,1,1,0,1,1,0,12,6,50,100
0:31:00,0,0,1,,0,1,1,1,1,0,1,0,11,6,50,22
0:31:00,0,0,0,0,1,1,1,1,0,1,1,0,12,6,50,55
0:31:00,0,1,1,0,1,0,1,0,1,0,1,0,12,6,50,32
0:31:00,1,0,0,0,0,0,1,0,1,1,1,1,12,6,50,0
0:31:00,0,0,0,0,0,1,1,1,1,0,1,1,12,6,50,65
0:31:00,0,1,0,0,1,0,1,0,0,1,1,1,12,6,50,57
0:32:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,67
0:32:00,0,0,1,0,1,0,1,1,1,0,1,0,12,6,50,65
0:32:00,0,0,0,0,1,0,1,1,0,1,1,1,12,6,50,60
0:32:00,1,0,0,0,0,1,1,0,1,1,1,0,12,6,50,32
0:33:00,1,0,1,0,1,0,1,0,1,0,0,1,12,6,50,
0:33:00,0,1,0,,,0,1,1,0,1,1,1,10,6,50,100
0:33:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,37
0:34:00,0,0,0,0,1,0,1,1,1,0,1,1,12,6,50,21
0:34:00,0,1,0,0,1,0,1,1,1,1,0,0,12,6,50,79
