Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Puntaje Ponderado,Puntaje NEM,Puntaje Ranking,Puntaje Lenguaje,Puntaje Matemática M1,Puntaje Matemática M2,Certamen 1,Abstracción,Descomposición,Patrones,Algoritmos,Aprobación C1,Nota Final,Aprobación Asignatura
0:45:00,0,1,1,0,0,0,0,0,0,1,0,1,12,4,33.33,0,0,0,0,0,0,57,0,66.66666667,0,66.66666667,1,79,1
0:46:00,0,1,1,0,0,0,1,0,0,1,0,0,12,4,33.33,701.5,928,1000,816,539,313,66,0,33.33333333,33.33333333,66.66666667,1,68,1
0:46:00,0,0,1,1,1,0,1,0,0,0,0,0,12,4,33.33,679.1,694,702,788,659,558,0,33.33333333,0,33.33333333,66.66666667,0,0,0
0:46:00,0,0,0,0,0,0,1,1,1,1,0,0,12,4,33.33,604.2,643,643,745,631,351,19,0,66.66666667,66.66666667,0,0,42,0
0:48:00,1,0,1,0,1,0,0,0,0,0,1,0,12,4,33.33,,,,,,,17,100,0,0,33.33333333,0,9,0
0:48:00,0,1,0,0,0,0,1,1,0,0,1,0,12,4,33.33,796,928,966,872,728,545,54,33.33333333,33.33333333,33.33333333,33.33333333,0,27,0
0:48:00,0,0,1,0,0,0,1,1,0,0,1,0,12,4,33.33,885.2,951,979,872,928,692,82,33.33333333,33.33333333,33.33333333,33.33333333,1,87,1
0:50:00,0,1,1,0,0,0,1,0,0,0,1,0,12,4,33.33,709,814,834,701,715,413,57,33.33333333,0,33.33333333,66.66666667,1,70,1
0:52:00,0,0,1,1,0,0,0,0,0,1,0,1,12,4,33.33,,,,,,,0,0,66.66666667,0,66.66666667,0,0,0
0:52:00,0,0,0,0,1,0,1,1,0,0,1,0,12,4,33.33,737.2,794,880,663,743,504,23,66.66666667,33.33333333,33.33333333,0,0,58,1
0:54:00,0,0,1,0,0,0,0,1,0,1,0,1,12,4,33.33,600.8,685,684,678,526,399,0,0,100,0,33.33333333,0,0,0
0:55:00,0,0,0,0,0,0,1,1,0,1,1,0,12,4,33.33,639,722,730,589,601,413,7,33.33333333,66.66666667,33.33333333,0,0,11,0
0:55:00,0,0,1,0,0,0,1,0,0,1,1,0,12,4,33.33,721.1,914,955,692,645,399,22,33.33333333,33.33333333,33.33333333,33.33333333,0,19,0
0:55:00,1,0,1,0,0,0,0,0,0,1,1,0,12,4,33.33,789,771,828,801,830,651,,66.66666667,33.33333333,0,33.33333333,0,0,0
0:59:00,0,0,0,0,0,0,0,1,1,1,1,0,12,4,33.33,637,608,618,729,704,428,5,33.33333333,66.66666667,33.33333333,0,0,3,0
1:03:00,1,0,1,0,0,0,0,0,0,1,0,1,12,4,33.33,673.4,558,558,801,780,556,0,33.33333333,66.66666667,0,33.33333333,0,0,0
